This is a full list of config-variables changed by actions in the Main-section. The format is: Section_CommandID(AID) and then the configvariable altered.
The INT/DOUBLE-values are a hint to what has changed to what, but isn't 100%-accurate.

The list isn't cleaned yet, means, while creating this list, some false positives happened through the process. 
All false positives are entries with only one or two appearances of the same commandID, while all valid ones are always three times.

Meo Mespotine - mespotine.de for the ultraschall.fm-project

Sec:32060_AID:14=mastermutesolo 	 - INT: 16  - DOUBLE: -2.0
Sec:32060_AID:14=mastermutesolo 	 - INT: 17  - DOUBLE: -2.0
Sec:32060_AID:14=mastermutesolo 	 - INT: 16  - DOUBLE: -2.0
Sec:32060_AID:15=mastermutesolo 	 - INT: 14  - DOUBLE: -2.0
Sec:32060_AID:15=mastermutesolo 	 - INT: 16  - DOUBLE: -2.0
Sec:32060_AID:15=mastermutesolo 	 - INT: 14  - DOUBLE: -2.0
Sec:32060_AID:1068=loop 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:1068=loop 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:1068=loop 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:1135=projsellock 	 - INT: 24552  - DOUBLE: -2.0
Sec:32060_AID:1135=projsellock 	 - INT: 8168  - DOUBLE: -2.0
Sec:32060_AID:1135=projsellock 	 - INT: 24552  - DOUBLE: -2.0
Sec:32060_AID:1155=projripedit 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:1155=projripedit 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:1155=projripedit 	 - INT: 0  - DOUBLE: -2.0
Sec:32060_AID:1156=projgroupover 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:1156=projgroupover 	 - INT: -1  - DOUBLE: -2.0
Sec:32060_AID:1156=projgroupover 	 - INT: -2  - DOUBLE: -2.0
Sec:32060_AID:1157=projshowgrid 	 - INT: 3608  - DOUBLE: -2.0
Sec:32060_AID:1157=projshowgrid 	 - INT: 3864  - DOUBLE: -2.0
Sec:32060_AID:1157=projshowgrid 	 - INT: 3608  - DOUBLE: -2.0
Sec:32060_AID:40036=viewadvance 	 - INT: 11  - DOUBLE: -2.0
Sec:32060_AID:40036=viewadvance 	 - INT: 10  - DOUBLE: -2.0
Sec:32060_AID:40036=viewadvance 	 - INT: 11  - DOUBLE: -2.0
Sec:32060_AID:40041=autoxfade 	 - INT: 5  - DOUBLE: -2.0
Sec:32060_AID:40041=autoxfade 	 - INT: 4  - DOUBLE: -2.0
