compiled by Meo Mespotine(mespotine.de) for the ultraschall.fm-project

This file lists all possible command-ids, that are reserved for Reascripts.
All these actions are toggleable with their toggle-states.
Every section allows for up to 11997 scripts to be registered. Each script can be used only once per section, means: 
 if you want to register a script multiple times into a section, you must work with copys with different filenames.

CmdID - Section

53003 - 0(Main-section)
53004 - 0(Main-section)
53005 - 0(Main-section)
53006 - 0(Main-section)
53007 - 0(Main-section)
53008 - 0(Main-section)
53009 - 0(Main-section)
53010 - 0(Main-section)
53011 - 0(Main-section)
53012 - 0(Main-section)
53013 - 0(Main-section)
53014 - 0(Main-section)
53015 - 0(Main-section)
53016 - 0(Main-section)
53017 - 0(Main-section)
53018 - 0(Main-section)
53019 - 0(Main-section)
53020 - 0(Main-section)
53021 - 0(Main-section)
53022 - 0(Main-section)
53023 - 0(Main-section)
53024 - 0(Main-section)
53025 - 0(Main-section)
53026 - 0(Main-section)
53027 - 0(Main-section)
53028 - 0(Main-section)
53029 - 0(Main-section)
53030 - 0(Main-section)
53031 - 0(Main-section)
53032 - 0(Main-section)
53033 - 0(Main-section)
53034 - 0(Main-section)
53035 - 0(Main-section)
53036 - 0(Main-section)
53037 - 0(Main-section)
53038 - 0(Main-section)
53039 - 0(Main-section)
53040 - 0(Main-section)
53041 - 0(Main-section)
53042 - 0(Main-section)
53043 - 0(Main-section)
53044 - 0(Main-section)
53045 - 0(Main-section)
53046 - 0(Main-section)
53047 - 0(Main-section)
53048 - 0(Main-section)
53049 - 0(Main-section)
53050 - 0(Main-section)
53051 - 0(Main-section)
53052 - 0(Main-section)
53053 - 0(Main-section)
53054 - 0(Main-section)
53055 - 0(Main-section)
53056 - 0(Main-section)
53057 - 0(Main-section)
53058 - 0(Main-section)
53059 - 0(Main-section)
53060 - 0(Main-section)
53061 - 0(Main-section)
53062 - 0(Main-section)
53063 - 0(Main-section)
53064 - 0(Main-section)
53065 - 0(Main-section)
53066 - 0(Main-section)
53067 - 0(Main-section)
53068 - 0(Main-section)
53069 - 0(Main-section)
53070 - 0(Main-section)
53071 - 0(Main-section)
53072 - 0(Main-section)
53073 - 0(Main-section)
53074 - 0(Main-section)
53075 - 0(Main-section)
53076 - 0(Main-section)
53077 - 0(Main-section)
53078 - 0(Main-section)
53079 - 0(Main-section)
53080 - 0(Main-section)
53081 - 0(Main-section)
53082 - 0(Main-section)
53083 - 0(Main-section)
53084 - 0(Main-section)
53085 - 0(Main-section)
53086 - 0(Main-section)
53087 - 0(Main-section)
53088 - 0(Main-section)
53089 - 0(Main-section)
53090 - 0(Main-section)
53091 - 0(Main-section)
53092 - 0(Main-section)
53093 - 0(Main-section)
53094 - 0(Main-section)
53095 - 0(Main-section)
53096 - 0(Main-section)
53097 - 0(Main-section)
53098 - 0(Main-section)
53099 - 0(Main-section)
53100 - 0(Main-section)
53101 - 0(Main-section)
53102 - 0(Main-section)
53103 - 0(Main-section)
53104 - 0(Main-section)
53105 - 0(Main-section)
53106 - 0(Main-section)
53107 - 0(Main-section)
53108 - 0(Main-section)
53109 - 0(Main-section)
53110 - 0(Main-section)
53111 - 0(Main-section)
53112 - 0(Main-section)
